Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
ADMA,ADMA Biologics Inc,8.17,USD,10186554,1.1803920588894843,8.17,USD,12.051925062693613,Health technology,Biotechnology,7720604.166666667,1893583184.7119243,USD,96.67899999999999,231773000,3.9862106446817163,0.6779,USD,-19.68961023575406,6.864224514775254,0.170626,USD,0.186667,USD,000899104
ADSK,"Autodesk, Inc.",244.5,USD,1744848,0.9661555304819276,244.5,USD,46.736117748255765,Technology services,Packaged software,1905547.2666666666,51625011856.30975,USD,99.6051,211145000,7.461466666666668,5.2315,USD,2.090000780579189,3.0749926964651055,2.85,USD,2.843333,USD,052769106
ADTN,"ADTRAN Holdings, Inc.",14.94,USD,1527379,0.43598093920160214,14.94,USD,,Electronic technology,Computer peripherals,2768882,1210111634.5360825,USD,91.7435,80998100,1.0414575515372733,-0.3925,USD,77.11503702408022,5.7971887550201,0.14,USD,0.128583,USD,00486H105
AEHR,Aehr Test Systems,97.23,USD,3825272,1.3148398532378713,97.23,USD,,Electronic technology,Electronic production equipment,3970126.7,3058200025.9470744,USD,94.3178,31453300,61.89870069605555,-0.3783,USD,-148.74371859296483,10.162986144781932,-0.05,USD,-0.0075,USD,00760J108
AEO,"American Eagle Outfitters, Inc.",16.68,USD,2557192,0.6580339370768132,16.68,USD,14.899508709245199,Retail trade,Apparel/Footwear retail,4666681.7,2780133094.838942,USD,90.90709999999999,166675000,0.5318839785046194,1.1195,USD,-33.17215854823305,4.052500856457609,0.84,USD,0.114985,USD,02553E106
AEVA,"Aeva Technologies, Inc.",13.57,USD,1923086,1.0387311647922721,13.57,USD,,Electronic technology,Semiconductors,1455633.6,854200131.0475842,USD,64.10880000000002,62947700,40.90777062508945,-4.9959,USD,-77.06539074960126,11.715654279397915,-0.41,USD,-0.432,USD,00835Q202
AFRM,"Affirm Holdings, Inc.",64.01,USD,9376326,1.989253018394498,64.01,USD,58.1697564521992,Finance,Finance/Rental/Leasing,5136975.1,21322413705.23085,USD,95.5423,292410000,6.379490495426772,1.1004,USD,,5.021960854330801,0.3,USD,0.326136,USD,00827B106
AGEN,Agenus Inc.,3.82,USD,619148,0.6793226742106487,3.82,USD,,Health technology,Biotechnology,1037146.7000000001,146681710.752,USD,95.5249,38398400,1.159861017461206,-0.3885,USD,96.36470819414423,7.7131637995511895,-0.3,USD,2.1,USD,00847G804
AGPU,Axe Compute Inc.,5.67,USD,235391,0.4569008939411732,5.67,USD,,Health technology,Medical specialties,6925199.6,31407642.949748747,USD,69.64320000000001,5539270,194.57027880655164,-153.1087,USD,-303.509090957008,15.43411438649539,114.705289,USD,,,74039M408
AGRO,Adecoagro S.A.,13.13,USD,571940,0.406521227680745,13.13,USD,,Process industries,Agricultural commodities/Milling,1542956.2333333334,1894770217.0905013,USD,21.879,144308000,0.9840334540653858,-0.083,USD,-109.26856504745952,5.858666086388826,-0.106031,USD,0.2479,USD,
